# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1697550053966000000,1697550113995000000,8037008
StreamlinedBlobStorage.recordsRelocated,1697550053966000000,1697550113995000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1697550053966000000,1697550113995000000,536936448
DirectByteBufferAllocator.hits,1697550053966000000,1697550113995000000,127
StorageLockContext.competingThreads.avg,1697550053966000000,1697550113995000000,0.08547008547008547
FilePageCache.pageHits,1697550053966000000,1697550113995000000,610
StreamlinedBlobStorage.recordsDeleted,1697550053966000000,1697550113995000000,12702
FilePageCache.pageFastCacheHits,1697550053966000000,1697550113995000000,261180
FilePageCache.maxCacheSizeInBytes,1697550053966000000,1697550113995000000,527482880
DirectByteBufferAllocator.disposed,1697550053966000000,1697550113995000000,0
FilePageCache.maxRegisteredFiles,1697550053966000000,1697550113995000000,1226
FilePageCache.pageLoadsAboveSizeThreshold,1697550053966000000,1697550113995000000,89
DirectByteBufferAllocator.misses,1697550053966000000,1697550113995000000,493
FilePageCache.pageLoads,1697550053966000000,1697550113995000000,531
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1697550053966000000,1697550113995000000,0
FilePageCache.totalPageLoadsUs,1697550053966000000,1697550113995000000,897785
FilePageCache.capacityInBytes,1697550053966000000,1697550113995000000,524288000
FilePageCache.totalPageDisposalsUs,1697550053966000000,1697550113995000000,2276
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1697550053966000000,1697550113995000000,17468668
FilePageCache.uncachedFileAccess,1697550053966000000,1697550113995000000,371
DirectByteBufferAllocator.reclaimed,1697550053966000000,1697550113995000000,127
StreamlinedBlobStorage.recordsAllocated,1697550053966000000,1697550113995000000,239546
StorageLockContext.competingThreads.max,1697550053966000000,1697550113995000000,6
FilePageCache.disposedBuffers,1697550053966000000,1697550113995000000,127
StorageLockContext.competingThreads.90P,1697550053966000000,1697550113995000000,0
workspaceModel.replace.project.model.ms,1697550053966000000,1697550113995000000,0
workspaceModel.updates.ms,1697550053966000000,1697550113995000000,178
workspaceModel.loading.total.ms,1697550053966000000,1697550113995000000,270
workspaceModel.collect.changes.ms,1697550053966000000,1697550113995000000,0
workspaceModel.updates.precise.ms,1697550053966000000,1697550113995000000,50
workspaceModel.init.bridges.ms,1697550053966000000,1697550113995000000,21
workspaceModel.loading.from.cache.ms,1697550053966000000,1697550113995000000,247
workspaceModel.check.recursive.update.ms,1697550053966000000,1697550113995000000,0
workspaceModel.update.unloaded.entities.ms,1697550053966000000,1697550113995000000,0
workspaceModel.to.snapshot.ms,1697550053966000000,1697550113995000000,1
workspaceModel.updates.count,1697550053966000000,1697550113995000000,6
workspaceModel.initializing.ms,1697550053966000000,1697550113995000000,21
workspaceModel.pre.handlers.ms,1697550053966000000,1697550113995000000,1
FileNameCache.queries,1697550053966000000,1697550113995000000,2134033
FileNameCache.totalMisses,1697550053966000000,1697550113995000000,50654
FileNameCache.fastMisses,1697550053966000000,1697550113995000000,79648
AWTEventQueue.dispatchTimeAvgNs,1697550053966000000,1697550113995000000,1547025.8697753767
FlushQueue.queueSize90P,1697550053966000000,1697550113995000000,19
FlushQueue.waitingTimeMaxNs,1697550053966000000,1697550113995000000,1660944383
FlushQueue.executionTimeAvgNs,1697550053966000000,1697550113995000000,933647.0738812583
NonBlockingReadAction.failedExecutionTimeUs,1697550053966000000,1697550113995000000,899232
AWTEventQueue.dispatchTimeTotalNS,1697550053966000000,1697550113995000000,16325016800
AWTEventQueue.eventsDispatched,1697550053966000000,1697550113995000000,10551
NonBlockingReadAction.failedExecutionsCount,1697550053966000000,1697550113995000000,1
FlushQueue.tasksExecuted,1697550053966000000,1697550113995000000,9028
FlushQueue.executionTimeMaxNs,1697550053966000000,1697550113995000000,939524095
FlushQueue.executionTime90PNs,1697550053966000000,1697550113995000000,230399
AWTEventQueue.dispatchTimeMaxNs,1697550053966000000,1697550113995000000,939524095
NonBlockingReadAction.finalizedExecutionsCount,1697550053966000000,1697550113995000000,584
NonBlockingReadAction.finalizedExecutionTimeUs,1697550053966000000,1697550113995000000,5690693
AWTEventQueue.dispatchTime90PNs,1697550053966000000,1697550113995000000,1449983
FlushQueue.queueSizeMax,1697550053966000000,1697550113995000000,224
FlushQueue.waitingTime90PNs,1697550053966000000,1697550113995000000,92798975
FlushQueue.queueSizeAvg,1697550053966000000,1697550113995000000,11.580416482055826
FlushQueue.waitingTimeAvgNs,1697550053966000000,1697550113995000000,5.866819076672574E7
